Recording timestamp	Computer timestamp	Sensor	Export date	Participant name	Recording date	Gaze point X	Gaze point Y	Gaze point left X	Gaze point left Y	Gaze point right X	Gaze point right Y	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point left X (DACSmm)	Gaze point left Y (DACSmm)	Gaze point right X (DACSmm)	Gaze point right Y (DACSmm)	Gaze point X (MCSnorm)	Gaze point Y (MCSnorm)	Gaze point left X (MCSnorm)	Gaze point left Y (MCSnorm)	Gaze point right X (MCSnorm)	Gaze point right Y (MCSnorm)	Client area position X (DACSpx)	Client area position Y (DACSpx)	Viewport position X	Viewport position Y	Viewport width	Viewport height	Full page width	Full page height
136480	3984990841	Eye Tracker	07.09.2020	Participant1	07.09.2020	1308	1664			1308	1664				0,06513	0,55094	-0,83200			Invalid	Valid				294,5	-132,6	819,1			358,6	409,8														
144908	3984999269	Eye Tracker	07.09.2020	Participant1	07.09.2020	816	1197	816	1197			-0,00611	0,46247	-0,88661						Valid	Invalid	229,2	-131,5	817,6				223,5	294,9																
153128	3985007489	Eye Tracker	07.09.2020	Participant1	07.09.2020	863	1313	863	1313			0,00784	0,48627	-0,87378				3,79		Valid	Invalid	229,2	-131,2	817,0				236,5	323,5																
161554	3985015915	Eye Tracker	07.09.2020	Participant1	07.09.2020	852	884			852	884				-0,06830	0,39194	-0,91745			Invalid	Valid				294,4	-131,5	817,3			233,6	217,6														
169881	3985024242	Eye Tracker	07.09.2020	Participant1	07.09.2020	919	1427	919	1427			0,02383	0,50855	-0,86070						Valid	Invalid	229,3	-130,6	815,8				251,9	351,5																
178138	3985032499	Eye Tracker	07.09.2020	Participant1	07.09.2020	962	1341	955	1488	969	1194	0,03392	0,52006	-0,85346	-0,03130	0,46160	-0,88653	3,95	3,92	Valid	Valid	229,3	-130,3	815,4	294,5	-131,0	816,3	261,7	366,5	265,7	294,0														
186495	3985040856	Eye Tracker	07.09.2020	Participant1	07.09.2020	1004	1472	886	1492	1122	1453	0,01415	0,52108	-0,85339	0,01369	0,51378	-0,85781			Valid	Valid	229,2	-130,1	814,9	294,4	-130,8	815,8	242,8	367,5	307,4	357,8														
194800	3985049161	Eye Tracker	07.09.2020	Participant1	07.09.2020	921	1467	921	1467			0,02412	0,51624	-0,85610						Valid	Invalid	229,4	-129,9	814,6				252,3	361,3																
203130	3985057491	Eye Tracker	07.09.2020	Participant1	07.09.2020	1034	1478	932	1491	1135	1465	0,02742	0,52071	-0,85330	0,01752	0,51617	-0,85631	4,00	4,17	Valid	Valid	229,3	-129,8	814,3	294,5	-130,5	815,2	255,5	367,1	311,1	360,9														
211526	3985065887	Eye Tracker	07.09.2020	Participant1	07.09.2020	1247	1398			1247	1398				0,05012	0,50259	-0,86307			Invalid	Valid				294,4	-130,3	814,9			341,7	344,2														
219797	3985074158	Eye Tracker	07.09.2020	Participant1	07.09.2020															Invalid	Invalid																								
228126	3985082487	Eye Tracker	07.09.2020	Participant1	07.09.2020	1020	1494	923	1511	1118	1476	0,02469	0,52467	-0,85095	0,01258	0,51827	-0,85512	3,93	3,89	Valid	Valid	229,3	-129,4	813,6	294,4	-130,1	814,4	252,9	372,2	306,3	363,5														
236551	3985090912	Eye Tracker	07.09.2020	Participant1	07.09.2020	1105	1463			1105	1463				0,00910	0,51587	-0,85662			Invalid	Valid				294,3	-129,9	814,2			302,9	360,4														
244805	3985099166	Eye Tracker	07.09.2020	Participant1	07.09.2020	1153	1475			1153	1475				0,02293	0,51792	-0,85512			Invalid	Valid				294,3	-129,8	814,1			316,1	363,2														
253124	3985107485	Eye Tracker	07.09.2020	Participant1	07.09.2020	1073	1525	1007	1560	1138	1490	0,04876	0,53323	-0,84456	0,01868	0,52090	-0,85342	3,90	3,88	Valid	Valid	229,1	-129,2	813,2	294,2	-129,8	813,9	276,1	384,3	312,0	367,0														
261469	3985115830	Eye Tracker	07.09.2020	Participant1	07.09.2020	1138	1490			1138	1490				0,01879	0,52090	-0,85341			Invalid	Valid				294,1	-129,7	813,8			312,0	367,0														
269790	3985124151	Eye Tracker	07.09.2020	Participant1	07.09.2020	1151	1424	1049	1454	1253	1395	0,06139	0,51310	-0,85613	0,05226	0,50197	-0,86330			Valid	Valid	229,1	-129,1	813,1	294,2	-129,7	813,7	287,4	358,2	343,4	343,5														
278123	3985132484	Eye Tracker	07.09.2020	Participant1	07.09.2020	1189	1384	1020	1409	1359	1358	0,05344	0,50461	-0,86169	0,08343	0,49381	-0,86556	3,85	3,97	Valid	Valid	229,0	-129,1	813,1	294,1	-129,6	813,7	279,5	347,0	372,5	334,6														
286515	3985140876	Eye Tracker	07.09.2020	Participant1	07.09.2020	1400	1354			1400	1354				0,09531	0,49246	-0,86510			Invalid	Valid				294,0	-129,6	813,6			383,6	333,5														
294853	3985149214	Eye Tracker	07.09.2020	Participant1	07.09.2020															Invalid	Invalid																								
303121	3985157482	Eye Tracker	07.09.2020	Participant1	07.09.2020	1030	1436	1030	1436			0,05620	0,50976	-0,85848				3,86		Valid	Invalid	229,0	-129,2	813,3				282,2	353,7																
311464	3985165825	Eye Tracker	07.09.2020	Participant1	07.09.2020															Invalid	Invalid																								
319798	3985174159	Eye Tracker	07.09.2020	Participant1	07.09.2020	984	1437	984	1437			0,04289	0,51013	-0,85903						Valid	Invalid	229,1	-129,3	813,5				269,7	353,8																
328186	3985182547	Eye Tracker	07.09.2020	Participant1	07.09.2020	961	1408	961	1408			0,03647	0,50472	-0,86251				3,83		Valid	Invalid	229,0	-129,3	813,6				263,4	346,8																
336452	3985190813	Eye Tracker	07.09.2020	Participant1	07.09.2020	911	1418	911	1418			0,02198	0,50683	-0,86177						Valid	Invalid	229,0	-129,3	813,6				249,7	349,2																
344787	3985199148	Eye Tracker	07.09.2020	Participant1	07.09.2020	879	1455	879	1455			0,01237	0,51402	-0,85769						Valid	Invalid	229,1	-129,3	813,7				240,8	358,4																
353110	3985207471	Eye Tracker	07.09.2020	Participant1	07.09.2020	929	1424	929	1424			0,02723	0,50790	-0,86099				3,97		Valid	Invalid	229,0	-129,3	813,8				254,7	350,8																
361454	3985215815	Eye Tracker	07.09.2020	Participant1	07.09.2020	1080	1327			1080	1327				0,00216	0,48913	-0,87221			Invalid	Valid				293,9	-129,2	813,2			295,9	326,8														
369867	3985224228	Eye Tracker	07.09.2020	Participant1	07.09.2020															Invalid	Invalid																								
378109	3985232470	Eye Tracker	07.09.2020	Participant1	07.09.2020	1106	1378			1106	1378				0,00959	0,49936	-0,86634		3,91	Invalid	Valid				294,0	-129,2	813,1			303,0	339,5														
386500	3985240861	Eye Tracker	07.09.2020	Participant1	07.09.2020															Invalid	Invalid																								
394775	3985249136	Eye Tracker	07.09.2020	Participant1	07.09.2020	762	1432	762	1432			-0,02139	0,50959	-0,86015						Valid	Invalid	229,1	-129,4	813,8				208,8	352,7																
403105	3985257466	Eye Tracker	07.09.2020	Participant1	07.09.2020	966	1443	863	1456	1068	1431	0,00800	0,51429	-0,85758	-0,00139	0,50960	-0,86041	3,91	4,03	Valid	Valid	229,0	-129,4	813,8	294,0	-129,1	812,9	236,6	358,6	292,7	352,4														
411447	3985265808	Eye Tracker	07.09.2020	Participant1	07.09.2020	1112	1452			1112	1452				0,01065	0,51329	-0,85815			Invalid	Valid				294,5	-133,8	821,6			304,7	357,6														
419846	3985274207	Eye Tracker	07.09.2020	Participant1	07.09.2020	890	1470	890	1470			0,01570	0,51656	-0,85610						Valid	Invalid	228,9	-133,8	821,8				243,9	362,1																
428113	3985282474	Eye Tracker	07.09.2020	Participant1	07.09.2020	1004	1513	919	1524	1089	1501	0,02393	0,52662	-0,84976	0,00415	0,52264	-0,85254	4,00	4,15	Valid	Valid	228,8	-133,4	821,1	294,4	-132,9	819,8	252,0	375,4	298,4	369,7														
436439	3985290800	Eye Tracker	07.09.2020	Participant1	07.09.2020	949	1500	832	1523	1066	1477	-0,00076	0,52653	-0,85015	-0,00216	0,51821	-0,85525			Valid	Valid	228,8	-133,1	820,4	294,3	-132,5	819,0	228,1	375,1	292,2	363,8														
444780	3985299141	Eye Tracker	07.09.2020	Participant1	07.09.2020	831	1469	831	1469			-0,00114	0,51657	-0,85625						Valid	Invalid	228,9	-132,7	819,8				227,8	361,9																
453102	3985307463	Eye Tracker	07.09.2020	Participant1	07.09.2020	945	1477	818	1471	1072	1484	-0,00481	0,51692	-0,85602	-0,00049	0,51954	-0,85444	3,91	4,11	Valid	Valid	228,8	-132,5	819,3	294,3	-131,8	817,8	224,2	362,3	293,8	365,4														
461447	3985315808	Eye Tracker	07.09.2020	Participant1	07.09.2020	952	1452	829	1415	1075	1489	-0,00166	0,50631	-0,86235	0,00053	0,52054	-0,85384			Valid	Valid	228,8	-132,2	818,8	294,1	-131,5	817,1	227,2	348,5	294,6	366,7														
469783	3985324144	Eye Tracker	07.09.2020	Participant1	07.09.2020	700	1390	700	1390			-0,03916	0,50113	-0,86449						Valid	Invalid	228,9	-132,0	818,4				191,8	342,4																
478102	3985332463	Eye Tracker	07.09.2020	Participant1	07.09.2020	902	1422	700	1390	1105	1454	-0,03910	0,50114	-0,86448	0,00914	0,51404	-0,85772	3,92	4,09	Valid	Valid	228,8	-131,8	818,1	294,1	-131,0	816,1	191,8	342,4	302,8	358,1														
486492	3985340853	Eye Tracker	07.09.2020	Participant1	07.09.2020	1111	1451			1111	1451				0,01101	0,51352	-0,85801			Invalid	Valid				294,0	-130,8	815,7			304,5	357,4														
494833	3985349194	Eye Tracker	07.09.2020	Participant1	07.09.2020															Invalid	Invalid																								
503100	3985357461	Eye Tracker	07.09.2020	Participant1	07.09.2020	925	1433	751	1431	1099	1436	-0,02417	0,50926	-0,86027	0,00776	0,51068	-0,85974	3,75	4,04	Valid	Valid	228,8	-131,4	817,3	294,0	-130,3	814,9	205,8	352,4	301,3	353,7														
